,alcohol,residual sugar,fixed acidity,pH,free sulfur dioxide,quality
63,10.2,4.6,6.6,3.11,25.0,0
64,10.3,1.4,7.2,3.15,31.0,0
65,9.1,1.2,6.2,3.22,29.0,0
66,12.6,6.4,6.4,3.22,27.0,0
67,9.8,1.2,6.7,3.14,81.0,0
68,10.7,2.1,6.7,3.33,30.0,1
69,9.5,10.1,7.4,3.13,21.0,0
70,9.0,7.8,6.2,3.1,48.0,0
71,9.5,4.6,6.8,3.32,50.5,0
72,10.0,4.8,6.0,3.69,31.0,0
73,9.1,1.0,8.6,2.95,9.0,0
74,10.7,2.1,6.7,3.33,30.0,1
75,9.5,10.1,7.4,3.13,21.0,0
76,12.7,1.4,7.1,3.26,31.0,0
77,12.0,1.3,7.0,3.31,20.0,0
78,9.3,8.8,7.4,2.94,26.0,0
79,9.0,5.4,6.7,3.27,21.0,0
80,10.6,1.4,6.8,3.39,34.0,0
81,9.2,16.0,7.1,3.21,51.0,0
82,10.0,6.1,7.1,3.17,47.0,0
83,9.5,8.2,7.3,3.33,42.0,0
84,8.7,11.8,7.1,3.11,54.0,0
85,8.7,11.8,7.1,3.12,52.0,0
87,9.7,13.3,6.8,3.22,69.0,0
88,8.7,11.8,7.1,3.11,54.0,0
89,8.7,11.8,7.1,3.12,52.0,0
90,8.7,11.0,7.2,3.09,55.0,0
91,9.0,7.5,6.1,3.12,65.0,0
92,12.6,1.7,6.9,3.26,47.0,0
93,12.6,1.8,6.9,3.25,48.0,0
94,11.5,1.7,7.5,3.21,51.0,0
95,9.2,12.4,7.1,3.04,62.0,0
96,8.8,15.9,6.0,3.14,26.0,0
97,11.4,1.2,8.6,2.95,15.0,0
99,8.8,15.9,6.0,3.14,26.0,0
100,9.1,13.5,7.4,3.0,52.0,0
101,9.4,9.6,7.1,3.4,64.0,0
102,9.4,12.1,6.0,3.34,55.0,0
103,9.0,18.9,7.5,2.99,44.0,0
104,9.1,13.5,7.4,3.0,52.0,0
105,9.2,14.4,7.3,3.2,34.0,0
106,9.4,9.6,7.1,3.4,64.0,0
107,9.1,16.5,7.1,3.16,60.0,0
108,9.1,16.5,7.1,3.16,60.0,0
109,10.3,1.3,6.9,3.27,37.0,0
110,8.8,8.5,6.5,2.89,64.0,0
111,8.9,18.75,7.2,3.04,45.0,0
112,9.2,13.3,7.2,3.01,68.0,0
113,9.1,9.2,6.7,3.22,29.0,0
114,9.1,9.2,6.7,3.22,29.0,0
115,9.7,1.5,5.5,3.63,8.0,0
116,11.3,3.3,6.0,3.31,25.0,0
117,11.8,1.7,7.0,3.19,16.0,0
118,9.2,13.3,7.2,3.01,68.0,0
119,9.2,13.3,7.3,3.04,57.0,0
120,10.2,5.7,5.9,3.22,21.0,0
121,8.8,12.2,7.8,3.01,42.0,0
122,9.7,6.85,7.4,3.29,31.0,0
123,9.1,5.0,6.9,3.29,14.0,0
124,9.8,1.6,6.4,3.21,40.0,0
125,11.0,1.1,6.7,3.27,63.0,0
126,10.5,7.0,7.4,3.14,29.0,0
127,9.7,7.6,6.5,3.45,48.0,0
128,10.9,2.8,6.1,3.3,47.0,0
129,10.9,2.7,6.1,3.31,46.0,0
130,10.6,10.4,5.7,3.39,7.0,0
131,9.7,7.6,6.5,3.45,48.0,0
132,9.0,13.1,6.5,3.23,59.0,0
133,9.2,15.8,6.6,3.24,46.0,0
134,8.9,8.1,6.8,3.19,55.0,0
135,9.6,15.7,6.7,3.26,44.0,0
136,10.7,1.2,8.2,3.12,36.0,0
137,8.7,10.5,7.1,3.16,49.0,0
138,10.8,1.9,6.8,3.15,30.0,0
140,10.2,2.2,6.3,3.3,20.0,0
141,8.7,10.5,7.1,3.16,49.0,0
142,10.8,1.2,7.9,3.21,38.0,0
143,9.7,4.3,8.5,3.18,24.0,0
144,11.2,2.0,8.1,3.12,19.0,0
145,10.9,1.1,6.3,3.0,37.0,0
146,10.1,1.4,5.6,3.28,53.0,0
147,9.0,5.2,6.4,3.38,15.0,0
148,12.0,4.6,6.3,3.38,19.0,0
149,9.4,4.1,6.9,2.99,23.0,0
150,11.5,8.0,7.9,3.12,46.0,0
151,9.9,10.2,7.6,3.14,58.0,0
152,9.4,4.1,6.9,2.99,23.0,0
153,10.4,1.2,7.2,3.14,41.0,0
154,9.7,7.5,8.2,3.06,12.0,0
155,8.9,14.0,7.4,2.89,48.0,0
156,8.9,14.0,7.4,2.89,48.0,0
157,12.4,1.5,6.1,3.29,38.0,0
158,12.1,1.4,5.2,3.36,43.0,1
159,12.1,1.4,5.2,3.36,43.0,1
160,12.4,1.5,6.1,3.29,38.0,0
161,9.1,14.5,6.4,2.98,27.0,0
162,10.6,4.8,6.3,3.28,14.0,0
163,8.9,14.0,7.4,2.89,48.0,0
164,9.5,13.1,6.7,3.15,64.0,0
165,9.8,13.0,7.0,3.16,72.0,0
166,9.6,8.7,8.4,3.14,39.0,0
167,12.6,2.4,6.7,3.08,25.0,0
168,9.3,8.95,7.5,3.08,20.0,0
169,10.0,9.85,9.8,2.87,5.0,0
170,12.7,1.5,7.1,3.12,29.0,0
171,11.0,1.5,7.9,3.13,17.0,0
172,11.4,0.8,7.6,3.03,4.0,0
173,11.5,4.55,6.3,3.35,31.0,0
175,11.4,7.5,6.9,3.11,50.0,0
176,12.6,5.1,7.2,3.03,19.0,0
177,9.4,12.9,5.9,3.28,57.0,0
178,8.7,1.2,6.0,3.11,9.0,0
179,9.2,5.5,6.4,3.19,41.0,0
180,9.3,5.5,6.4,3.19,42.0,0
181,9.2,1.2,7.1,3.09,61.0,0
182,8.7,22.0,6.8,2.93,48.0,0
183,9.6,14.0,6.9,3.18,64.0,0
184,9.3,11.9,6.8,3.02,64.0,0
185,9.3,11.9,6.8,3.02,66.0,0
186,9.9,9.4,6.7,3.12,49.0,0
187,11.0,4.2,5.9,3.15,42.0,0
188,12.7,3.8,6.8,3.26,26.0,1
189,8.9,8.5,6.5,3.09,54.0,0
190,8.9,8.5,6.6,3.09,55.0,0
191,8.7,22.0,6.8,2.93,48.0,0
192,11.4,8.0,6.8,3.02,28.0,0
193,9.6,5.1,6.6,3.36,34.0,0
194,9.1,3.6,6.4,3.02,75.0,0
195,9.1,3.5,6.4,3.02,76.0,0
196,9.1,3.6,6.4,3.01,75.0,0
197,8.9,7.8,6.8,3.13,54.0,0
198,8.8,13.1,7.1,3.1,52.0,0
199,8.9,7.8,6.8,3.13,54.0,0
200,9.3,16.1,6.8,3.15,55.0,0
201,8.8,13.1,7.1,3.1,52.0,0
202,9.6,13.2,6.9,3.2,53.0,0
203,12.0,13.9,6.8,3.33,39.0,0
204,10.2,2.3,5.8,3.28,36.0,0
205,8.8,11.6,6.4,3.15,45.0,0
206,9.2,8.3,7.0,3.21,38.0,0
207,9.9,6.2,10.2,2.99,20.0,0
208,10.2,2.2,6.8,3.32,15.0,0
209,9.5,0.9,6.1,3.22,23.0,0
210,10.5,9.7,5.6,3.31,12.0,0
211,11.2,1.4,6.8,3.32,35.0,0
212,9.2,8.3,7.0,3.21,38.0,0
213,9.7,5.3,6.7,3.44,31.0,0
214,11.1,1.4,6.2,3.3,35.0,0
215,9.4,9.2,5.8,3.31,55.0,0
216,11.0,7.0,7.5,3.03,45.0,0
217,9.4,9.2,5.8,3.31,55.0,0
218,9.4,17.5,5.7,3.31,60.0,0
219,11.0,7.0,7.5,3.04,43.0,0
220,11.0,7.0,7.5,3.03,45.0,0
221,9.1,9.5,7.2,3.0,33.0,0
222,11.1,1.4,6.2,3.3,35.0,0
223,9.1,0.8,6.5,3.42,33.0,0
225,8.7,17.8,7.1,3.32,39.0,0
226,9.7,2.4,6.4,3.5,41.0,0
227,9.1,10.3,7.1,3.17,66.0,0
228,9.7,2.4,6.4,3.5,41.0,0
229,8.7,17.8,7.1,3.32,39.0,0
230,8.9,9.7,6.8,3.37,26.0,0
231,9.6,7.8,8.3,3.34,38.0,0
232,9.5,7.8,8.2,3.31,49.0,0
233,9.0,14.3,7.2,3.09,55.0,0
234,9.0,14.3,7.2,3.09,55.0,0
235,9.0,14.3,7.2,3.09,55.0,0
236,9.0,14.3,7.2,3.09,55.0,0
237,9.6,13.2,6.8,3.27,54.0,0
238,11.1,1.4,7.0,3.34,40.0,0
239,9.6,15.55,6.2,3.48,28.0,0
240,8.7,13.7,7.3,3.2,49.0,0
241,10.4,7.8,7.7,3.13,23.0,0
242,11.4,2.4,7.1,3.15,23.0,0
243,9.7,2.7,6.8,3.3,64.5,0
244,8.7,11.2,6.9,3.14,40.0,0
245,11.3,2.0,6.1,3.37,20.0,0
246,12.6,2.1,6.8,3.16,26.0,0
247,10.9,1.4,5.8,3.25,12.0,0
248,10.9,1.4,5.6,3.25,12.0,0
250,10.0,4.6,5.9,3.72,40.0,0
251,9.8,16.2,8.5,3.02,41.0,0
252,8.7,11.2,6.9,3.14,40.0,0
253,11.7,3.5,5.8,3.53,5.0,0
254,9.3,1.5,5.8,3.21,37.0,0
255,9.6,1.1,6.7,3.32,45.0,1
256,11.0,5.7,6.3,3.27,8.0,0
257,11.0,5.7,6.3,3.27,8.0,0
258,11.8,1.8,6.4,3.32,23.0,0
259,11.4,0.9,5.8,3.28,3.0,0
260,10.2,5.4,6.9,3.32,36.0,0
261,8.9,19.45,6.9,2.93,36.0,0
262,10.2,8.2,6.9,3.17,15.0,0
263,9.6,13.6,7.2,3.08,66.0,0
264,10.6,1.2,6.2,3.1,22.0,0
265,8.9,19.45,6.9,2.93,36.0,0
266,9.2,8.3,6.9,3.25,32.0,0
269,9.7,7.0,5.4,3.34,36.0,0
270,9.2,8.3,6.9,3.25,32.0,0
271,9.7,7.0,5.2,3.33,33.0,0
272,9.3,13.1,5.8,3.29,44.0,0
273,9.0,5.1,6.6,3.24,30.0,0
274,9.5,10.7,7.0,3.05,59.0,0
275,9.8,8.9,6.6,3.14,51.0,0
276,9.8,9.1,6.7,3.14,50.0,0
277,10.6,1.1,7.7,2.89,9.0,0
278,10.6,1.2,6.8,3.05,14.0,0
279,12.4,4.7,7.0,3.26,17.0,0
280,12.6,2.8,7.0,3.19,22.0,1
281,12.3,5.0,6.1,3.3,36.0,1
282,10.5,5.1,6.8,3.08,46.0,0
283,9.3,15.6,6.7,3.19,51.0,0
284,8.8,15.4,7.1,3.12,46.0,0
285,8.8,7.2,7.3,3.08,47.0,0
286,9.7,15.7,6.5,3.22,51.0,0
287,9.0,14.2,7.2,2.98,49.0,0
288,9.0,14.2,7.2,2.98,49.0,0
289,9.0,14.2,7.2,2.98,49.0,0
290,9.0,14.2,7.2,2.98,49.0,0
291,10.5,5.8,5.9,3.52,53.0,0
292,9.1,19.8,7.4,2.96,53.0,0
293,9.8,7.3,6.2,3.44,26.0,0
294,8.5,1.6,9.1,3.23,34.0,0
295,9.4,1.2,6.3,3.37,34.0,0
296,9.4,10.6,8.3,3.09,33.0,0
297,11.2,3.8,7.2,3.19,82.0,0
298,10.0,11.3,7.5,3.17,65.0,0
299,10.3,2.1,6.7,3.15,27.0,0
300,10.8,1.6,6.1,3.27,36.0,0
301,10.5,0.9,8.3,3.13,12.0,0
302,10.8,1.6,6.1,3.27,36.0,0
303,11.1,1.3,6.0,3.32,42.0,0
304,9.9,6.8,7.3,3.2,41.0,0
305,9.9,6.8,7.3,3.2,41.0,0
306,9.9,6.7,7.2,3.2,40.0,0
307,9.9,6.7,7.3,3.2,41.0,0
308,10.4,4.9,6.2,3.2,30.0,0
309,10.4,4.8,6.2,3.21,36.0,0
310,11.5,2.1,6.1,3.4,16.0,0
311,12.5,8.3,5.0,3.53,35.0,1
312,10.0,3.7,7.8,3.36,37.0,0
313,10.0,6.7,5.7,3.29,51.0,0
314,10.0,6.6,5.8,3.29,50.0,0
315,9.1,1.1,6.8,3.09,42.0,0
316,10.6,4.7,6.8,3.21,34.0,0
317,10.5,7.7,6.6,3.19,36.0,0
318,11.5,7.85,5.9,3.52,19.0,0
319,10.1,3.3,6.1,3.54,10.0,0
320,10.3,1.1,6.0,3.61,15.0,0
321,10.5,7.7,6.6,3.19,36.0,0
322,10.6,4.7,6.8,3.21,34.0,0
323,10.4,9.3,6.8,3.16,35.0,0
324,11.4,2.0,8.3,3.02,11.0,0
325,10.5,5.8,7.5,3.18,131.0,0
326,10.0,15.15,7.9,2.96,38.0,0
327,10.0,6.3,6.4,3.19,37.0,0
328,9.6,15.4,6.5,3.23,55.0,0
329,10.4,1.3,7.2,3.17,33.0,0
330,12.5,4.8,6.4,3.36,34.0,1
331,10.6,4.6,6.8,3.2,37.0,0
332,11.8,1.8,6.3,3.28,16.0,0
333,9.8,9.9,6.5,3.11,30.0,0
334,10.8,5.7,5.6,3.25,12.0,0
335,11.8,1.8,6.3,3.28,16.0,0
336,11.2,1.5,6.3,3.32,15.0,0
337,9.3,12.3,5.8,3.28,55.0,0
338,10.4,1.3,5.9,3.45,12.0,0
339,10.2,1.5,6.6,3.43,49.0,0
340,9.0,7.8,7.4,3.19,27.0,0
341,10.0,1.5,8.0,3.2,17.0,0
342,9.1,9.7,6.4,3.18,30.0,0
343,10.0,3.0,5.4,3.29,46.0,0
344,10.0,3.0,5.4,3.29,47.0,0
345,9.6,4.6,7.1,3.28,33.0,0
346,11.2,1.3,5.6,3.36,20.0,0
347,8.8,15.6,6.7,3.2,75.0,0
348,10.0,13.6,7.8,3.15,38.0,0
349,10.0,11.2,7.6,3.15,56.0,0
350,11.4,2.1,6.3,3.27,47.0,0
351,11.9,6.85,7.3,3.03,32.0,0
352,9.6,2.5,5.5,3.14,27.0,0
353,11.9,6.85,7.3,3.03,32.0,0
354,9.6,4.4,5.8,3.25,38.5,0
355,9.0,14.3,7.3,2.89,48.0,0
356,9.0,14.3,7.3,2.89,48.0,0
357,9.5,1.1,6.1,3.15,24.0,0
358,10.4,1.4,10.0,3.0,19.0,0
359,10.6,4.7,6.9,3.2,43.0,0
360,10.2,14.9,6.4,3.28,54.0,0
361,8.9,1.2,7.1,3.15,24.0,0
362,9.7,5.3,6.8,3.4,40.0,0
363,9.0,14.3,7.3,2.89,48.0,0
364,11.4,2.3,6.8,3.49,18.0,0
365,12.3,3.5,6.0,3.4,29.0,0
366,10.8,1.5,6.0,3.49,40.0,0
367,9.4,1.0,6.9,3.12,39.0,0
369,11.6,12.5,7.1,3.17,26.0,0
370,9.4,1.0,6.9,3.12,39.0,0
371,10.6,2.3,7.7,3.17,36.0,0
372,10.0,0.8,6.6,3.34,17.0,0
373,9.2,2.4,7.2,3.1,30.0,0
374,12.5,1.6,5.1,3.51,18.0,0
375,12.5,1.6,5.1,3.51,18.0,0
376,10.4,1.5,6.4,3.32,12.0,0
377,10.0,1.4,7.3,3.15,21.0,0
378,10.0,2.6,5.7,3.22,17.0,0
379,10.4,1.5,6.4,3.32,12.0,0
380,10.0,1.4,7.3,3.15,21.0,0
381,9.0,12.5,7.2,3.1,48.0,0
382,9.2,9.6,7.5,3.12,26.0,0
383,9.2,2.4,7.2,3.1,30.0,0
384,11.3,3.2,6.0,3.38,20.0,0
385,12.5,1.6,5.1,3.51,18.0,0
386,10.8,1.5,5.0,3.48,24.0,0
387,10.1,5.9,6.3,3.12,82.5,0
388,9.7,5.4,6.7,3.39,29.0,0
389,9.3,14.9,7.0,3.18,60.0,0
390,9.3,14.9,7.0,3.18,60.0,0
391,10.6,1.1,6.5,3.1,13.0,0
392,10.2,9.8,6.1,3.36,19.0,0
393,12.2,2.0,7.3,3.08,20.0,0
394,8.8,11.8,6.8,3.19,62.0,0
395,10.0,1.3,6.8,3.18,87.0,0
396,11.4,1.8,8.2,3.09,30.0,0
397,11.4,1.5,6.3,3.46,35.0,0
398,9.4,18.2,5.9,3.35,52.0,0
399,11.7,2.9,6.4,3.3,32.0,0
400,11.4,1.5,6.3,3.46,35.0,0
401,8.8,11.8,6.8,3.19,62.0,0
402,9.2,1.4,6.1,3.23,22.0,0
403,8.7,18.2,7.1,3.07,55.0,0
404,12.6,6.3,6.8,3.24,33.0,0
405,10.0,1.3,6.8,3.18,87.0,0
406,12.8,4.0,5.8,3.39,40.0,0
407,9.4,1.2,6.9,3.17,13.0,0
408,10.3,1.2,6.3,3.26,26.0,0
409,11.4,1.8,8.2,3.09,30.0,0
410,9.0,18.95,7.2,2.97,42.0,0
411,9.6,12.7,7.3,3.3,38.0,0
412,10.5,1.2,7.2,3.16,32.0,0
413,10.5,1.2,7.2,3.16,32.0,0
414,9.0,18.95,7.2,2.97,42.0,0
415,9.6,12.7,7.3,3.3,38.0,0
416,9.8,1.2,7.4,3.19,27.0,0
417,9.0,7.7,6.8,3.1,57.0,0
418,9.8,1.2,7.4,3.19,27.0,0
419,10.5,1.6,7.4,3.31,33.0,0
420,12.7,2.7,7.0,3.16,41.0,0
421,10.4,8.7,7.0,3.25,37.0,0
422,10.4,8.6,7.0,3.25,37.0,0
423,10.4,8.6,7.0,3.25,37.0,0
424,10.5,8.3,6.9,3.34,47.0,0
425,10.4,8.7,7.0,3.25,37.0,0
426,10.4,8.6,7.0,3.25,37.0,0
427,9.4,13.3,6.8,3.09,48.0,0
428,9.1,1.2,7.8,3.06,20.0,0
429,9.3,13.6,7.1,3.1,54.0,0
430,9.4,13.3,6.8,3.09,48.0,0
431,9.8,1.1,6.4,3.21,19.0,0
432,9.9,2.3,7.4,3.18,73.5,0
433,9.2,1.5,7.2,3.07,16.0,0
434,12.1,7.1,7.0,3.35,31.0,1
435,12.2,6.2,6.9,3.38,24.0,0
436,9.8,2.5,6.1,3.27,23.0,0
437,12.4,1.4,6.6,3.35,49.0,1
439,9.2,1.2,6.2,3.26,23.0,0
441,10.4,6.6,6.1,3.3,25.0,0
442,12.9,2.2,6.0,3.43,54.0,1
443,9.3,12.2,6.6,3.26,54.0,0
444,11.0,20.8,6.9,3.2,40.0,0
445,11.5,11.0,7.1,3.24,16.0,0
446,12.4,2.6,5.8,3.53,30.0,0
447,9.8,14.0,6.5,3.44,24.0,0
448,9.8,14.0,6.5,3.44,24.0,0
449,10.5,1.6,6.4,3.48,34.0,0
450,9.1,9.9,7.2,3.03,21.0,0
451,10.1,1.2,6.1,3.24,34.0,0
452,10.6,2.7,5.9,3.46,27.0,0
453,10.5,1.6,6.0,3.41,32.0,0
454,10.5,1.6,6.4,3.48,34.0,0
455,9.8,14.0,6.4,3.44,24.0,0
456,12.9,1.5,6.3,3.3,11.0,0
457,9.5,8.6,7.1,2.95,26.0,0
458,9.8,1.0,6.0,3.29,31.0,0
459,8.5,9.1,6.1,3.37,83.0,0
460,9.5,8.6,7.1,2.95,26.0,0
461,9.3,15.2,7.0,3.22,40.0,0
462,9.5,12.4,5.9,3.35,50.0,0
463,9.4,2.2,6.8,3.17,15.0,0
464,8.7,11.0,7.2,3.16,66.0,0
465,8.9,10.0,6.3,2.95,34.0,0
466,9.4,9.0,7.0,3.22,54.0,0
467,9.4,2.2,6.8,3.17,15.0,0
468,8.7,11.0,7.2,3.16,66.0,0
469,9.6,18.15,7.2,3.09,59.0,0
470,9.3,12.15,8.6,3.0,21.0,0
471,10.0,3.4,6.5,3.14,34.0,0
472,12.5,2.0,6.6,3.25,19.0,0
473,9.6,4.8,7.0,3.36,34.0,0
474,9.4,4.5,5.5,3.24,30.0,0
475,9.5,11.0,7.0,3.03,55.0,0
476,12.4,1.1,7.4,2.99,42.0,0
477,10.5,1.5,7.0,3.11,29.0,0
478,9.2,1.7,7.1,2.97,21.0,0
479,10.4,1.7,6.3,3.32,67.0,0
480,9.2,8.9,6.7,3.22,31.0,0
481,10.6,1.3,5.9,3.33,45.0,0
482,9.5,13.3,5.8,3.34,41.0,0
483,9.2,8.9,6.7,3.22,31.0,0
484,9.6,6.6,6.2,3.29,79.0,0
485,9.7,1.5,6.2,3.47,36.0,0
486,9.7,1.5,6.0,3.46,43.0,0
487,10.7,1.3,6.6,3.1,32.0,0
488,10.5,1.6,7.4,3.34,53.0,0
489,8.9,7.6,7.4,3.13,52.0,0
490,12.1,1.0,7.0,3.09,8.0,0
491,12.7,1.6,7.1,3.25,12.0,0
492,9.9,8.9,7.8,3.18,42.0,0
493,11.4,1.8,6.3,3.2,28.0,0
494,10.7,4.7,6.8,3.37,27.0,0
495,12.5,7.0,5.7,3.33,28.0,0
496,8.6,10.8,7.2,3.08,70.0,0
497,12.5,1.6,6.8,3.29,43.0,0
498,10.0,1.0,5.7,3.27,13.0,0
499,8.6,10.8,7.2,3.08,70.0,0
500,9.5,16.7,7.2,3.08,54.0,0
501,9.6,14.2,6.8,3.12,51.0,0
502,9.9,2.25,6.4,3.2,8.0,0
503,9.9,2.25,6.5,3.19,8.0,0
504,8.9,12.2,7.8,3.06,46.0,0
505,8.9,12.2,7.8,3.06,46.0,0
506,8.8,3.3,7.3,3.01,7.0,0
507,10.0,1.9,6.0,3.64,40.0,0
508,12.0,3.5,5.9,3.44,55.0,0
509,10.0,1.9,6.0,3.64,40.0,0
510,10.0,1.3,6.7,3.21,62.0,0
511,12.1,1.8,7.8,3.11,8.0,0
512,11.0,5.2,7.3,3.16,31.0,0
513,11.2,1.4,7.4,3.21,27.0,0
514,10.3,9.0,7.8,3.17,34.0,0
515,10.4,2.2,6.1,3.37,28.0,0
516,9.1,1.6,6.8,3.08,47.0,0
517,10.4,1.7,7.4,3.0,49.0,0
519,11.7,12.6,7.2,3.19,7.0,0
520,9.8,2.1,7.9,3.05,8.0,0
522,11.4,1.3,6.9,3.03,22.0,0
523,11.2,1.7,5.8,3.03,22.0,0
524,11.4,1.0,5.6,3.37,6.0,0
525,9.2,3.3,5.9,3.09,24.0,0
526,12.5,5.0,7.2,3.04,3.0,0
527,12.6,1.8,6.1,3.36,32.0,0
528,12.2,1.6,5.2,3.44,24.0,0
529,11.2,4.5,5.6,3.56,19.0,0
530,9.7,4.9,6.4,3.43,31.0,0
531,9.3,4.0,6.4,3.06,64.0,0
532,9.0,13.2,7.4,3.01,53.0,0
533,9.0,13.2,7.4,3.01,53.0,0
534,9.0,13.2,7.4,3.01,53.0,0
535,9.1,15.3,7.9,3.09,54.0,0
536,9.1,15.3,7.9,3.09,54.0,0
537,9.0,13.2,7.4,3.01,53.0,0
538,10.4,1.5,6.1,3.31,22.0,0
539,9.5,4.55,6.8,3.37,41.0,0
540,11.4,9.9,6.7,3.46,10.0,0
541,8.7,10.4,7.2,3.16,76.0,0
542,9.9,1.1,5.5,3.34,14.0,0
543,9.9,8.7,6.7,3.22,29.0,0
544,9.0,13.9,6.8,3.21,49.0,0
545,10.0,1.4,6.4,3.49,41.0,0
546,9.7,7.2,6.3,3.49,38.0,0
547,11.8,1.9,7.7,3.3,10.0,0
548,10.2,1.7,6.5,3.49,30.0,0
549,8.7,10.4,7.2,3.16,76.0,0
550,9.6,13.6,7.0,3.07,40.0,0
551,11.3,1.2,9.2,2.93,31.0,0
552,12.1,1.6,7.8,3.0,32.0,0
553,9.6,13.6,7.0,3.07,40.0,0
554,12.1,1.6,7.8,3.0,32.0,0
555,11.3,1.2,9.2,2.93,31.0,0
556,9.4,12.2,8.4,2.98,22.0,0
557,10.4,1.6,6.1,3.32,16.0,0
558,9.5,12.1,5.9,3.25,53.0,0
559,12.3,4.2,7.2,3.01,51.0,0
560,9.9,9.1,6.7,3.12,31.0,0
561,10.1,1.6,5.9,3.24,39.0,0
562,9.2,8.8,7.7,3.09,39.0,0
563,10.4,1.4,7.4,3.08,16.0,0
564,9.1,4.2,6.8,3.2,38.0,0
565,10.0,10.3,7.8,3.12,28.0,0
566,11.5,12.4,7.2,3.13,6.0,0
567,9.8,2.2,6.0,3.08,59.0,0
568,9.8,2.2,6.1,3.08,61.0,0
569,9.4,5.2,6.5,3.19,44.0,0
570,8.7,10.8,7.4,3.05,77.0,0
571,11.6,2.7,6.5,3.32,26.0,0
572,8.8,16.3,6.7,3.04,44.0,0
573,12.7,2.7,7.2,3.16,49.0,0
574,11.7,1.9,7.4,3.17,39.0,0
575,10.2,1.8,8.2,3.13,47.0,0
576,10.2,1.8,8.2,3.13,47.0,0
577,12.7,2.8,7.1,3.15,48.0,0
578,11.6,2.7,6.5,3.32,26.0,0
579,12.3,6.0,6.0,3.38,42.0,0
580,8.7,10.8,7.4,3.05,77.0,0
581,9.4,4.2,5.7,3.35,25.0,0
582,10.1,6.4,7.3,3.13,44.0,0
583,9.7,10.7,7.4,2.86,26.0,0
584,10.1,1.6,6.6,3.42,32.0,0
585,9.7,10.7,7.4,2.86,26.0,0
586,8.9,7.9,7.4,3.13,38.0,0
588,10.8,2.1,6.9,3.42,42.0,0
589,9.5,5.8,7.0,3.19,25.0,0
590,9.1,14.5,7.1,2.94,6.0,0
591,10.9,1.2,7.3,3.32,48.0,0
592,9.4,10.1,6.9,3.2,28.0,0
593,10.8,1.1,6.4,2.97,10.0,0
594,10.8,1.0,6.4,2.97,9.0,0
595,10.5,0.9,6.3,3.45,7.0,0
596,9.4,10.1,6.9,3.2,28.0,0
